FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150914;1100;0,1;;;
150914;1200;0,275001;;;
150914;1300;0,1;;;
150914;1400;0,1;;;
150914;1500;0,1;;;
150914;1600;0,1;;;
150914;1700;0,1;;;
150914;1800;0,1;;;
150914;1900;0,158334;;;
150914;2000;0,958335;;;
150914;2100;2,41668;;;
150914;2200;1,43333;;;
150914;2300;0,508334;;;
150915;0000;1,48333;;;
150915;0100;0,800001;;;
150915;0200;1,09167;;;
150915;0300;1,30833;;;
150915;0400;1,61667;;;
150915;0500;2,55001;;;
150915;0600;3,70001;;;
150915;0700;3,57501;;;
150915;0800;0,108333;;;
150915;0900;0,1;;;
150915;1000;0,1;;;
150915;1100;0,1;;;
150915;1200;0,1;;;
150915;1300;0,1;;;
150915;1400;0,1;;;
150915;1500;0,1;;;
150915;1600;0,1;;;
150915;1700;;;8,14725;
150915;1800;;;17,1744;
150915;1900;0,387501;;;
150915;2000;0,366668;;;
150915;2100;0,375001;;;
150915;2200;0,191668;;;
150915;2300;0,166667;;;
150916;0000;0,258334;;;
150916;0100;0,1;;;
150916;0200;0,1;;;
150916;0300;0,1;;;
150916;0400;0,1;;;
150916;0500;0,1;;;
150916;0600;0,1;;;
150916;0700;0,1;;;
150916;0800;0,1;;;
150916;0900;0,1;;;
150916;1000;0,1;;;
150916;1100;0,1;;;
150916;1200;0,1;;;
150916;1300;0,1;;;
150916;1400;0,1;;;
150916;1500;0,1;;;
150916;1600;0,1;;;
150916;1700;0,1;;;
150916;1800;0,166667;;;
150916;1900;0,275001;;;
150916;2000;0,316668;;;
150916;2100;0,275001;;;
150916;2200;0,208333;;;
150916;2300;0,116667;;;
150917;0000;0,166667;;;
150917;0100;0,1;;;
150917;0200;0,1;;;
150917;0300;0,1;;;
150917;0400;0,1;;;
150917;0500;0,1;;;
150917;0600;0,141667;;;
150917;0700;0,508334;;;
150917;0800;0,166667;;;
150917;0900;0,1;;;
150917;1000;0,1;;;
150917;1100;0,1;;;
150917;1200;0,1;;;
150917;1300;0,1;;;
150917;1400;0,1;;;
150917;1500;0,1;;;
150917;1600;0,1;;;
150917;1700;0,1;;;
150917;1800;0,225;;;
150917;1900;0,766668;;;
150917;2000;0,816669;;;
150917;2100;0,675001;;;
150917;2200;0,866669;;;
150917;2300;0,675001;;;
150918;0000;0,541669;;;
150918;0100;0,408334;;;
150918;0200;0,308334;;;
150918;0300;0,1;;;
150918;0400;0,1;;;
150918;0500;0,1;;;
150918;0600;0,1;;;
150918;0700;0,1;;;
150918;0800;0,1;;;
150918;0900;0,1;;;
150918;1000;0,1;;;
150918;1100;0,1;;;
150918;1200;0,1;;;
150918;1300;0,1;;;
150918;1400;0,1;;;
150918;1500;0,1;;;
150918;1600;0,1;;;
150918;1700;0,1;;;
150918;1800;0,1;;;
150918;1900;0,1;;;
150918;2000;0,108333;;;
150918;2100;0,300001;;;
150918;2200;0,141667;;;
150918;2300;0,258334;;;
150919;0000;0,325001;;;
150919;0100;1,00833;;;
150919;0200;0,466668;;;
150919;0300;0,600001;;;
150919;0400;0,191668;;;
150919;0500;0,466668;;;
150919;0600;0,466668;;;
150919;0700;0,316668;;;
150919;0800;0,1;;;
150919;0900;0,1;;;
150919;1000;0,1;;;
150919;1100;0,1;;;
150919;1200;0,1;;;
150919;1300;0,1;;;
150919;1400;0,1;;;
150919;1500;0,1;;;
150919;1600;0,1;;;
150919;1700;0,1;;;
150919;1800;0,200001;;;
150919;1900;0,750002;;;
150919;2000;0,541669;;;
150919;2100;0,633334;;;
150919;2200;0,391668;;;
150919;2300;0,350001;;;
150920;0000;0,408334;;;
150920;0100;0,600001;;;
150920;0200;0,850001;;;
150920;0300;1,48333;;;
150920;0400;0,325001;;;
150920;0500;0,750002;;;
150920;0600;0,533335;;;
150920;0700;0,850001;;;
150920;0800;0,266668;;;
150920;0900;0,216667;;;
150920;1000;0,150001;;;
150920;1100;0,1;;;
150920;1200;0,1;;;
150920;1300;0,1;;;
150920;1400;0,1;;;
150920;1500;0,1;;;
150920;1600;0,1;;;
150920;1700;0,1;;;
150920;1800;0,1;;;
150920;1900;0,1;;;
150920;2000;0,200001;;;
150920;2100;0,200001;;;
150920;2200;0,1;;;
150920;2300;0,1;;;
150921;0000;0,1;;;
150921;0100;0,208333;;;
150921;0200;0,341668;;;
150921;0300;0,616669;;;
150921;0400;1,15833;;;
150921;0500;1,78333;;;
150921;0600;2,68334;;;
150921;0700;4,78335;;;
150921;0800;2,84168;;;
150921;0900;0,341668;;;
150921;1000;0,200001;;;
150921;1100;0,125;;;
150921;1200;0,1;;;
150921;1300;0,1;;;
150921;1400;0,1;;;
150921;1500;0,1;;;
150921;1600;0,1;;;
150921;1700;0,1;;;
150921;1800;0,133333;;;
150921;1900;0,308334;;;
150921;2000;0,508334;;;
150921;2100;0,300001;;;
150921;2200;0,400001;;;
150921;2300;0,233334;;;
150922;0000;1,34167;;;
150922;0100;1,4;;;
150922;0200;2,03334;;;
150922;0300;1,25;;;
150922;0400;1,00833;;;
150922;0500;1,15;;;
150922;0600;2,27501;;;
150922;0700;2,86668;;;
150922;0800;1,14167;;;
150922;0900;0,200001;;;
150922;1000;0,200001;;;
150922;1100;0,1;;;
150922;1200;0,1;;;
150922;1300;0,1;;;
150922;1400;0,1;;;
150922;1500;;0,1;;
150922;1600;0,1;;;
150922;1700;0,191668;;;
150922;1800;0,733335;;;
150922;1900;2,21668;;;
150922;2000;8,79169;;;
150922;2100;8,3667;;;
150922;2200;7,83334;;;
150922;2300;6,10835;;;
150923;0000;3,80001;;;
150923;0100;3,47501;;;
150923;0200;1,34167;;;
150923;0300;0,650002;;;
150923;0400;0,441668;;;
150923;0500;0,750002;;;
150923;0600;1,61667;;;
150923;0700;2,70001;;;
150923;0800;1,21667;;;
150923;0900;0,333334;;;
150923;1000;0,1;;;
150923;1100;0,1;;;
150923;1200;0,1;;;
150923;1300;0,1;;;
150923;1400;0,1;;;
150923;1500;0,1;;;
150923;1600;0,1;;;
150923;1700;0,1;;;
150923;1800;0,291668;;;
150923;1900;2,05834;;;
150923;2000;1,61667;;;
150923;2100;4,25002;;;
150923;2200;3,00001;;;
150923;2300;1,38333;;;
150924;0000;1,39167;;;
150924;0100;2,21668;;;
150924;0200;1,125;;;
150924;0300;0,833335;;;
150924;0400;1,64167;;;
150924;0500;1,10833;;;
150924;0600;1,75833;;;
150924;0700;2,09168;;;
150924;0800;1,35;;;
150924;0900;1,975;;;
150924;1000;1,88333;;;
150924;1100;0,783335;;;
150924;1200;0,300001;;;
150924;1300;0,358334;;;
150924;1400;0,575002;;;
150924;1500;0,650002;;;
150924;1600;0,675001;;;
150924;1700;0,550001;;;
150924;1800;0,708335;;;
150924;1900;1,04167;;;
150924;2000;0,808334;;;
150924;2100;0,808334;;;
150924;2200;0,883334;;;
150924;2300;0,941669;;;
150925;0000;1,3;;;
150925;0100;1,16667;;;
150925;0200;1,05;;;
150925;0300;0,825002;;;
150925;0400;0,691669;;;
