Año,Trimestre ,Población en edad de trabajar (Total),Fuerza de trabajo (Total),Ocupados (Total),Desocupados (Total),Desocupados (Cesantes),Desocupados (Buscan trabajo por primera vez),Fuera de la fuerza de trabajo (Total),Fuera de la fuerza de trabajo (Iniciadores),Fuera de la fuerza de trabajo (Inactivos potencialmente activos),Fuera de la fuerza de trabajo (Inactivos habituales),Tasa de desocupación,Tasa de ocupación ,Tasa de participación
,,en miles,en miles,en miles,en miles,en miles,en miles,en miles,en miles,en miles,en miles,tasa (%),tasa (%),tasa (%)
2017,Oct - Dic,7258.354019,5391.237039,5057.824138,333.4129011,299.7752272,33.63767394,1867.11698,33.09937027,286.846219,1547.171391,6.184348763,69.68279757,74.27630321
2017,Nov - Ene,7272.312004,5426.091456,5076.959754,349.1317026,314.4367645,34.69493812,1846.220548,32.22203421,287.6302877,1526.368226,6.434312902,69.81218285,74.61301789
2018,Dic - Feb,7286.189002,5443.994302,5100.373219,343.6210829,308.0712279,35.54985496,1842.1947,36.27546145,294.9105331,1511.008705,6.31192951,70.00056158,74.7166221
2018,Ene - Mar,7300.056002,5434.910809,5089.331675,345.5791339,317.7684126,27.81072133,1865.145193,37.87384177,278.0573326,1549.214019,6.358506074,69.71633743,74.45026185
2018,Feb - Abr,7313.915003,5434.063364,5101.257877,332.8054874,303.640531,29.16495641,1879.851639,37.52957827,258.8151824,1583.506878,6.124431481,69.74729505,74.2976007
2018,Mar - May,7327.891001,5446.817857,5091.390125,355.4277314,328.5544597,26.87327163,1881.073144,39.77013445,254.6378699,1586.66514,6.525419809,69.4796105,74.32995191
2018,Abr - Jun,7341.837,5463.043558,5088.923481,374.1200774,343.0608954,31.05918192,1878.793442,36.11035184,266.0801278,1576.602963,6.84819869,69.31403517,74.40976363
2018,May -Jul,7355.746,5462.965528,5069.649526,393.3160017,363.2554874,30.0605143,1892.780472,31.6563454,282.7675883,1578.356538,7.199679362,68.92094325,74.26800121
2018,Jun - Ago,7369.912,5455.356675,5061.301202,394.055473,361.4727029,32.58277014,1914.555325,29.21414258,291.8844784,1593.456704,7.223276067,68.6751918,74.02200562
2018,Jul - Sep,7384.101,5444.31082,5058.28949,386.0213295,355.1377942,30.88353534,1939.79018,27.75272343,308.2840392,1603.753418,7.090361706,68.5024418,73.73017812
2018,Ago - Oct,7398.277,5463.516022,5070.850711,392.6653116,362.6287587,30.03655289,1934.760978,29.41064178,282.5267222,1622.823614,7.187044204,68.54096853,73.84849232
2018,Sep - Nov,7412.456,5469.993692,5083.802365,386.1913275,345.3072052,40.8841223,1942.462308,25.64602905,274.6142358,1642.202043,7.060178663,68.58458741,73.79461938
2018,Oct - Dic,7426.692001,5500.571397,5136.298666,364.2727314,320.5015629,43.77116843,1926.120604,28.40171757,265.7122728,1632.006614,6.622452561,69.1599795,74.06489183
